# Paper classes generated at the trusted tier.
# Written by the generator. The runtime authorises against this
# by exact name, so a class merely sharing a simple name with one
# of these is not one of these.
#
# One line per type: the Paper class, a tab, and the Aussom class
# it is reachable as. The two differ where Paper reuses a simple
# name, since Aussom has no packages. Both columns come from the
# same map the modules were named from, so the manifest cannot
# disagree with what was written.
com.destroystokyo.paper.MaterialSetTag	MaterialSetTag
com.destroystokyo.paper.event.server.ServerTickStartEvent	ServerTickStartEvent
com.destroystokyo.paper.event.server.WhitelistToggleEvent	WhitelistToggleEvent
com.destroystokyo.paper.exception.ServerCommandException	ServerCommandException
com.destroystokyo.paper.exception.ServerEventException	ServerEventException
com.destroystokyo.paper.exception.ServerException	ServerException
com.destroystokyo.paper.exception.ServerInternalException	ServerInternalException
com.destroystokyo.paper.exception.ServerPluginEnableDisableException	ServerPluginEnableDisableException
com.destroystokyo.paper.exception.ServerPluginException	ServerPluginException
com.destroystokyo.paper.exception.ServerPluginMessageException	ServerPluginMessageException
com.destroystokyo.paper.exception.ServerSchedulerException	ServerSchedulerException
com.destroystokyo.paper.exception.ServerTabCompleteException	ServerTabCompleteException
com.destroystokyo.paper.inventory.meta.ArmorStandMeta	ArmorStandMeta
com.destroystokyo.paper.loottable.LootableBlockInventory	LootableBlockInventory
com.destroystokyo.paper.loottable.LootableEntityInventory	LootableEntityInventory
com.destroystokyo.paper.loottable.LootableInventory	LootableInventory
com.destroystokyo.paper.loottable.LootableInventoryReplenishEvent	LootableInventoryReplenishEvent
com.destroystokyo.paper.network.NetworkClient	NetworkClient
com.destroystokyo.paper.network.StatusClient	StatusClient
com.destroystokyo.paper.profile.PlayerProfile	ProfilePlayerProfile
com.destroystokyo.paper.profile.ProfileProperty	ProfileProperty
com.destroystokyo.paper.util.VersionFetcher	VersionFetcher
com.destroystokyo.paper.utils.PaperPluginLogger	PaperPluginLogger
io.papermc.paper.InternalAPIBridge	InternalAPIBridge
io.papermc.paper.ServerBuildInfo	ServerBuildInfo
io.papermc.paper.advancement.AdvancementDisplay	AdvancementAdvancementDisplay
io.papermc.paper.annotation.DoNotUse	DoNotUse
io.papermc.paper.annotation.GeneratedClass	GeneratedClass
io.papermc.paper.annotation.MinecraftVersionDependent	MinecraftVersionDependent
io.papermc.paper.block.BlockPredicate	BlockPredicate
io.papermc.paper.block.LockableTileState	LockableTileState
io.papermc.paper.block.MovingPiston	MovingPiston
io.papermc.paper.block.TileStateInventoryHolder	TileStateInventoryHolder
io.papermc.paper.block.bed.BedEnterAction	BedEnterAction
io.papermc.paper.block.bed.BedEnterProblem	BedEnterProblem
io.papermc.paper.block.bed.BedRuleResult	BedRuleResult
io.papermc.paper.block.fluid.FluidData	FluidData
io.papermc.paper.block.fluid.type.FallingFluidData	FallingFluidData
io.papermc.paper.block.fluid.type.FlowingFluidData	FlowingFluidData
io.papermc.paper.chat.ChatRenderer	ChatRenderer
io.papermc.paper.command.CommandBlockHolder	CommandBlockHolder
io.papermc.paper.command.brigadier.BasicCommand	BasicCommand
io.papermc.paper.command.brigadier.CommandRegistrationFlag	CommandRegistrationFlag
io.papermc.paper.command.brigadier.CommandSourceStack	CommandSourceStack
io.papermc.paper.command.brigadier.Commands	Commands
io.papermc.paper.command.brigadier.MessageComponentSerializer	MessageComponentSerializer
io.papermc.paper.command.brigadier.argument.AxisSet	AxisSet
io.papermc.paper.command.brigadier.argument.CustomArgumentType	CustomArgumentType
io.papermc.paper.command.brigadier.argument.SignedMessageResolver	SignedMessageResolver
io.papermc.paper.command.brigadier.argument.position.ColumnBlockPosition	ColumnBlockPosition
io.papermc.paper.command.brigadier.argument.position.ColumnFinePosition	ColumnFinePosition
io.papermc.paper.command.brigadier.argument.predicate.BlockInWorldPredicate	BlockInWorldPredicate
io.papermc.paper.command.brigadier.argument.predicate.ItemStackPredicate	ItemStackPredicate
io.papermc.paper.command.brigadier.argument.resolvers.AngleResolver	AngleResolver
io.papermc.paper.command.brigadier.argument.resolvers.ArgumentResolver	ArgumentResolver
io.papermc.paper.command.brigadier.argument.resolvers.BlockPositionResolver	BlockPositionResolver
io.papermc.paper.command.brigadier.argument.resolvers.ColumnBlockPositionResolver	ColumnBlockPositionResolver
io.papermc.paper.command.brigadier.argument.resolvers.ColumnFinePositionResolver	ColumnFinePositionResolver
io.papermc.paper.command.brigadier.argument.resolvers.FinePositionResolver	FinePositionResolver
io.papermc.paper.command.brigadier.argument.resolvers.PlayerProfileListResolver	PlayerProfileListResolver
io.papermc.paper.command.brigadier.argument.resolvers.RotationResolver	RotationResolver
io.papermc.paper.command.brigadier.argument.resolvers.selector.EntitySelectorArgumentResolver	EntitySelectorArgumentResolver
io.papermc.paper.command.brigadier.argument.resolvers.selector.PlayerSelectorArgumentResolver	PlayerSelectorArgumentResolver
io.papermc.paper.command.brigadier.argument.resolvers.selector.SelectorArgumentResolver	SelectorArgumentResolver
io.papermc.paper.configuration.ServerConfiguration	ServerConfiguration
io.papermc.paper.connection.PlayerCommonConnection	PlayerCommonConnection
io.papermc.paper.connection.PlayerConfigurationConnection	PlayerConfigurationConnection
io.papermc.paper.connection.PlayerConnection	PlayerConnection
io.papermc.paper.connection.PlayerGameConnection	PlayerGameConnection
io.papermc.paper.connection.PlayerLoginConnection	PlayerLoginConnection
io.papermc.paper.connection.ReadablePlayerCookieConnection	ReadablePlayerCookieConnection
io.papermc.paper.connection.WritablePlayerCookieConnection	WritablePlayerCookieConnection
io.papermc.paper.datacomponent.BuildableDataComponent	BuildableDataComponent
io.papermc.paper.datacomponent.DataComponentBuilder	DataComponentBuilder
io.papermc.paper.datacomponent.DataComponentHolder	DataComponentHolder
io.papermc.paper.datacomponent.DataComponentType	DataComponentType
io.papermc.paper.datacomponent.DataComponentView	DataComponentView
io.papermc.paper.datacomponent.item.AttackRange	AttackRange
io.papermc.paper.datacomponent.item.BannerPatternLayers	BannerPatternLayers
io.papermc.paper.datacomponent.item.BlockItemDataProperties	BlockItemDataProperties
io.papermc.paper.datacomponent.item.BlocksAttacks	BlocksAttacks
io.papermc.paper.datacomponent.item.BundleContents	BundleContents
io.papermc.paper.datacomponent.item.ChargedProjectiles	ChargedProjectiles
io.papermc.paper.datacomponent.item.Consumable	Consumable
io.papermc.paper.datacomponent.item.CustomModelData	CustomModelData
io.papermc.paper.datacomponent.item.DamageResistant	DamageResistant
io.papermc.paper.datacomponent.item.DeathProtection	DeathProtection
io.papermc.paper.datacomponent.item.DyedItemColor	DyedItemColor
io.papermc.paper.datacomponent.item.Enchantable	Enchantable
io.papermc.paper.datacomponent.item.Equippable	Equippable
io.papermc.paper.datacomponent.item.Fireworks	Fireworks
io.papermc.paper.datacomponent.item.FoodProperties	FoodProperties
io.papermc.paper.datacomponent.item.ItemAdventurePredicate	ItemAdventurePredicate
io.papermc.paper.datacomponent.item.ItemArmorTrim	ItemArmorTrim
io.papermc.paper.datacomponent.item.ItemAttributeModifiers	ItemAttributeModifiers
io.papermc.paper.datacomponent.item.ItemContainerContents	ItemContainerContents
io.papermc.paper.datacomponent.item.ItemEnchantments	ItemEnchantments
io.papermc.paper.datacomponent.item.ItemLore	ItemLore
io.papermc.paper.datacomponent.item.JukeboxPlayable	JukeboxPlayable
io.papermc.paper.datacomponent.item.KineticWeapon	KineticWeapon
io.papermc.paper.datacomponent.item.LodestoneTracker	LodestoneTracker
io.papermc.paper.datacomponent.item.MapDecorations	MapDecorations
io.papermc.paper.datacomponent.item.MapId	MapId
io.papermc.paper.datacomponent.item.MapItemColor	MapItemColor
io.papermc.paper.datacomponent.item.OminousBottleAmplifier	OminousBottleAmplifier
io.papermc.paper.datacomponent.item.PiercingWeapon	PiercingWeapon
io.papermc.paper.datacomponent.item.PotDecorations	PotDecorations
io.papermc.paper.datacomponent.item.PotionContents	PotionContents
io.papermc.paper.datacomponent.item.Repairable	ItemRepairable
io.papermc.paper.datacomponent.item.ResolvableProfile	ResolvableProfile
io.papermc.paper.datacomponent.item.SeededContainerLoot	SeededContainerLoot
io.papermc.paper.datacomponent.item.SulfurCubeContent	SulfurCubeContent
io.papermc.paper.datacomponent.item.SuspiciousStewEffects	SuspiciousStewEffects
io.papermc.paper.datacomponent.item.SwingAnimation	SwingAnimation
io.papermc.paper.datacomponent.item.Tool	Tool
io.papermc.paper.datacomponent.item.TooltipDisplay	TooltipDisplay
io.papermc.paper.datacomponent.item.UseCooldown	UseCooldown
io.papermc.paper.datacomponent.item.UseEffects	UseEffects
io.papermc.paper.datacomponent.item.UseRemainder	UseRemainder
io.papermc.paper.datacomponent.item.Weapon	Weapon
io.papermc.paper.datacomponent.item.WritableBookContent	WritableBookContent
io.papermc.paper.datacomponent.item.WrittenBookContent	WrittenBookContent
io.papermc.paper.datacomponent.item.attribute.AttributeModifierDisplay	AttributeModifierDisplay
io.papermc.paper.datacomponent.item.blocksattacks.DamageReduction	DamageReduction
io.papermc.paper.datacomponent.item.blocksattacks.ItemDamageFunction	ItemDamageFunction
io.papermc.paper.datacomponent.item.consumable.ConsumeEffect	ConsumeEffect
io.papermc.paper.datacomponent.item.consumable.ItemUseAnimation	ItemUseAnimation
io.papermc.paper.datapack.Datapack	Datapack
io.papermc.paper.datapack.DatapackManager	DatapackManager
io.papermc.paper.datapack.DatapackRegistrar	DatapackRegistrar
io.papermc.paper.datapack.DiscoveredDatapack	DiscoveredDatapack
io.papermc.paper.dialog.Dialog	Dialog
io.papermc.paper.dialog.DialogResponseView	DialogResponseView
io.papermc.paper.enchantments.EnchantmentRarity	EnchantmentRarity
io.papermc.paper.entity.Bucketable	Bucketable
io.papermc.paper.entity.CollarColorable	CollarColorable
io.papermc.paper.entity.EntitySerializationFlag	EntitySerializationFlag
io.papermc.paper.entity.Leashable	Leashable
io.papermc.paper.entity.LookAnchor	LookAnchor
io.papermc.paper.entity.PlayerGiveResult	PlayerGiveResult
io.papermc.paper.entity.RemovalReason	RemovalReason
io.papermc.paper.entity.SchoolableFish	SchoolableFish
io.papermc.paper.entity.Shearable	EntityShearable
io.papermc.paper.entity.poi.PoiSearchResult	PoiSearchResult
io.papermc.paper.entity.poi.PoiType	PoiType
io.papermc.paper.event.block.BeaconActivatedEvent	BeaconActivatedEvent
io.papermc.paper.event.block.BeaconDeactivatedEvent	BeaconDeactivatedEvent
io.papermc.paper.event.block.BellRevealRaiderEvent	BellRevealRaiderEvent
io.papermc.paper.event.block.BellRingEvent	BlockBellRingEvent
io.papermc.paper.event.block.BlockBreakBlockEvent	BlockBreakBlockEvent
io.papermc.paper.event.block.BlockBreakProgressUpdateEvent	BlockBreakProgressUpdateEvent
io.papermc.paper.event.block.BlockFailedDispenseEvent	BlockFailedDispenseEvent
io.papermc.paper.event.block.BlockLockCheckEvent	BlockLockCheckEvent
io.papermc.paper.event.block.BlockPreDispenseEvent	BlockPreDispenseEvent
io.papermc.paper.event.block.CompostItemEvent	CompostItemEvent
io.papermc.paper.event.block.DragonEggFormEvent	DragonEggFormEvent
io.papermc.paper.event.block.PlayerShearBlockEvent	PlayerShearBlockEvent
io.papermc.paper.event.block.TargetHitEvent	TargetHitEvent
io.papermc.paper.event.block.VaultChangeStateEvent	VaultChangeStateEvent
io.papermc.paper.event.connection.PlayerConnectionValidateLoginEvent	PlayerConnectionValidateLoginEvent
io.papermc.paper.event.connection.configuration.AsyncPlayerConnectionConfigureEvent	AsyncPlayerConnectionConfigureEvent
io.papermc.paper.event.connection.configuration.PlayerCodeOfConductSendEvent	PlayerCodeOfConductSendEvent
io.papermc.paper.event.connection.configuration.PlayerConnectionInitialConfigureEvent	PlayerConnectionInitialConfigureEvent
io.papermc.paper.event.connection.configuration.PlayerConnectionReconfigureEvent	PlayerConnectionReconfigureEvent
io.papermc.paper.event.entity.ElderGuardianAppearanceEvent	ElderGuardianAppearanceEvent
io.papermc.paper.event.entity.EntityAttemptSmashAttackEvent	EntityAttemptSmashAttackEvent
io.papermc.paper.event.entity.EntityAttemptSpinAttackEvent	EntityAttemptSpinAttackEvent
io.papermc.paper.event.entity.EntityCollideWithEntityEvent	EntityCollideWithEntityEvent
io.papermc.paper.event.entity.EntityCompostItemEvent	EntityCompostItemEvent
io.papermc.paper.event.entity.EntityConstructEvent	EntityConstructEvent
io.papermc.paper.event.entity.EntityDamageItemEvent	EntityDamageItemEvent
io.papermc.paper.event.entity.EntityDyeEvent	EntityDyeEvent
io.papermc.paper.event.entity.EntityEffectTickEvent	EntityEffectTickEvent
io.papermc.paper.event.entity.EntityEquipmentChangedEvent	EntityEquipmentChangedEvent
io.papermc.paper.event.entity.EntityFertilizeEggEvent	EntityFertilizeEggEvent
io.papermc.paper.event.entity.EntityIgniteEvent	EntityIgniteEvent
io.papermc.paper.event.entity.EntityInsideBlockEvent	EntityInsideBlockEvent
io.papermc.paper.event.entity.EntityKnockbackEvent	EntityEntityKnockbackEvent
io.papermc.paper.event.entity.EntityLoadCrossbowEvent	EntityLoadCrossbowEvent
io.papermc.paper.event.entity.EntityLungeEvent	EntityLungeEvent
io.papermc.paper.event.entity.EntityMoveEvent	EntityMoveEvent
io.papermc.paper.event.entity.EntityPortalReadyEvent	EntityPortalReadyEvent
io.papermc.paper.event.entity.EntityPushedByEntityAttackEvent	EntityPushedByEntityAttackEvent
io.papermc.paper.event.entity.EntityToggleSitEvent	EntityToggleSitEvent
io.papermc.paper.event.entity.FishHookStateChangeEvent	FishHookStateChangeEvent
io.papermc.paper.event.entity.ItemTransportingEntityValidateTargetEvent	ItemTransportingEntityValidateTargetEvent
io.papermc.paper.event.entity.PufferFishStateChangeEvent	PufferFishStateChangeEvent
io.papermc.paper.event.entity.ShulkerDuplicateEvent	ShulkerDuplicateEvent
io.papermc.paper.event.entity.SulfurCubeSwallowItemEvent	SulfurCubeSwallowItemEvent
io.papermc.paper.event.entity.TameableDeathMessageEvent	TameableDeathMessageEvent
io.papermc.paper.event.entity.WardenAngerChangeEvent	WardenAngerChangeEvent
io.papermc.paper.event.entity.WaterBottleSplashEvent	WaterBottleSplashEvent
io.papermc.paper.event.inventory.ItemCraftedEvent	ItemCraftedEvent
io.papermc.paper.event.packet.ClientTickEndEvent	ClientTickEndEvent
io.papermc.paper.event.packet.PlayerChunkLoadEvent	PlayerChunkLoadEvent
io.papermc.paper.event.packet.PlayerChunkUnloadEvent	PlayerChunkUnloadEvent
io.papermc.paper.event.packet.UncheckedSignChangeEvent	UncheckedSignChangeEvent
io.papermc.paper.event.player.AbstractChatEvent	AbstractChatEvent
io.papermc.paper.event.player.AbstractRespawnEvent	AbstractRespawnEvent
io.papermc.paper.event.player.AsyncChatCommandDecorateEvent	AsyncChatCommandDecorateEvent
io.papermc.paper.event.player.AsyncChatDecorateEvent	AsyncChatDecorateEvent
io.papermc.paper.event.player.AsyncChatEvent	AsyncChatEvent
io.papermc.paper.event.player.AsyncPlayerSpawnLocationEvent	AsyncPlayerSpawnLocationEvent
io.papermc.paper.event.player.CartographyItemEvent	CartographyItemEvent
io.papermc.paper.event.player.ChatEvent	ChatEvent
io.papermc.paper.event.player.PlayerArmSwingEvent	PlayerArmSwingEvent
io.papermc.paper.event.player.PlayerBedFailEnterEvent	PlayerBedFailEnterEvent
io.papermc.paper.event.player.PlayerChangeBeaconEffectEvent	PlayerChangeBeaconEffectEvent
io.papermc.paper.event.player.PlayerClientLoadedWorldEvent	PlayerClientLoadedWorldEvent
io.papermc.paper.event.player.PlayerCustomClickEvent	PlayerCustomClickEvent
io.papermc.paper.event.player.PlayerDeepSleepEvent	PlayerDeepSleepEvent
io.papermc.paper.event.player.PlayerFailMoveEvent	PlayerFailMoveEvent
io.papermc.paper.event.player.PlayerFlowerPotManipulateEvent	PlayerFlowerPotManipulateEvent
io.papermc.paper.event.player.PlayerInsertLecternBookEvent	PlayerInsertLecternBookEvent
io.papermc.paper.event.player.PlayerInventorySlotChangeEvent	PlayerInventorySlotChangeEvent
io.papermc.paper.event.player.PlayerItemCooldownEvent	PlayerItemCooldownEvent
io.papermc.paper.event.player.PlayerItemFrameChangeEvent	PlayerItemFrameChangeEvent
io.papermc.paper.event.player.PlayerItemGroupCooldownEvent	PlayerItemGroupCooldownEvent
io.papermc.paper.event.player.PlayerLecternPageChangeEvent	PlayerLecternPageChangeEvent
io.papermc.paper.event.player.PlayerLoomPatternSelectEvent	PlayerLoomPatternSelectEvent
io.papermc.paper.event.player.PlayerMapFilledEvent	PlayerMapFilledEvent
io.papermc.paper.event.player.PlayerNameEntityEvent	PlayerNameEntityEvent
io.papermc.paper.event.player.PlayerOpenSignEvent	PlayerOpenSignEvent
io.papermc.paper.event.player.PlayerPickBlockEvent	PlayerPickBlockEvent
io.papermc.paper.event.player.PlayerPickEntityEvent	PlayerPickEntityEvent
io.papermc.paper.event.player.PlayerPickItemEvent	PlayerPickItemEvent
io.papermc.paper.event.player.PlayerPurchaseEvent	PlayerPurchaseEvent
io.papermc.paper.event.player.PlayerServerFullCheckEvent	PlayerServerFullCheckEvent
io.papermc.paper.event.player.PlayerShieldDisableEvent	PlayerShieldDisableEvent
io.papermc.paper.event.player.PlayerStonecutterRecipeSelectEvent	PlayerStonecutterRecipeSelectEvent
io.papermc.paper.event.player.PlayerStopUsingItemEvent	PlayerStopUsingItemEvent
io.papermc.paper.event.player.PlayerSwapWithEquipmentSlotEvent	PlayerSwapWithEquipmentSlotEvent
io.papermc.paper.event.player.PlayerToggleEntityAgeLockEvent	PlayerToggleEntityAgeLockEvent
io.papermc.paper.event.player.PlayerTrackEntityEvent	PlayerTrackEntityEvent
io.papermc.paper.event.player.PlayerTradeEvent	PlayerTradeEvent
io.papermc.paper.event.player.PlayerUntrackEntityEvent	PlayerUntrackEntityEvent
io.papermc.paper.event.player.PrePlayerAttackEntityEvent	PrePlayerAttackEntityEvent
io.papermc.paper.event.server.AsyncServerDataFixerRemoveBlockEntityEvent	AsyncServerDataFixerRemoveBlockEntityEvent
io.papermc.paper.event.server.ServerResourcesReloadedEvent	ServerResourcesReloadedEvent
io.papermc.paper.event.server.WhitelistStateUpdateEvent	WhitelistStateUpdateEvent
io.papermc.paper.event.world.StructuresLocateEvent	StructuresLocateEvent
io.papermc.paper.event.world.WorldDifficultyChangeEvent	WorldDifficultyChangeEvent
io.papermc.paper.event.world.WorldGameRuleChangeEvent	WorldGameRuleChangeEvent
io.papermc.paper.event.world.border.WorldBorderBoundsChangeEvent	WorldBorderBoundsChangeEvent
io.papermc.paper.event.world.border.WorldBorderBoundsChangeFinishEvent	WorldBorderBoundsChangeFinishEvent
io.papermc.paper.event.world.border.WorldBorderCenterChangeEvent	WorldBorderCenterChangeEvent
io.papermc.paper.event.world.border.WorldBorderEvent	WorldBorderEvent
io.papermc.paper.inventory.ItemRarity	InventoryItemRarity
io.papermc.paper.inventory.tooltip.TooltipContext	TooltipContext
io.papermc.paper.item.MapPostProcessing	MapPostProcessing
io.papermc.paper.math.Angle	Angle
io.papermc.paper.math.BlockPosition	BlockPosition
io.papermc.paper.math.FinePosition	FinePosition
io.papermc.paper.math.Position	Position
io.papermc.paper.math.Rotation	MathRotation
io.papermc.paper.math.Rotations	Rotations
io.papermc.paper.persistence.PersistentDataContainerView	PersistentDataContainerView
io.papermc.paper.persistence.PersistentDataViewHolder	PersistentDataViewHolder
io.papermc.paper.potion.PotionMix	PotionMix
io.papermc.paper.potion.SuspiciousEffectEntry	SuspiciousEffectEntry
io.papermc.paper.raytracing.BlockCollisionMode	BlockCollisionMode
io.papermc.paper.raytracing.PositionedRayTraceConfigurationBuilder	PositionedRayTraceConfigurationBuilder
io.papermc.paper.raytracing.RayTraceTarget	RayTraceTarget
io.papermc.paper.registry.Reference	Reference
io.papermc.paper.registry.RegistryAccess	RegistryAccess
io.papermc.paper.registry.RegistryBuilderFactory	RegistryBuilderFactory
io.papermc.paper.registry.RegistryKey	RegistryKey
io.papermc.paper.registry.TypedKey	TypedKey
io.papermc.paper.registry.data.BannerPatternRegistryEntry	BannerPatternRegistryEntry
io.papermc.paper.registry.data.CatTypeRegistryEntry	CatTypeRegistryEntry
